,CandT,Lassosum,LDpred2
0.0,-41.103,-4.36803,-2.05551
1.0,-26.237724,-2.6964084,-0.92653624
2.0,-23.889052,-2.3615816,-0.74403116
3.0,-22.304908,-2.1504032,-0.63248148
4.0,-21.119964,-1.9942992,-0.53201388
5.0,-20.029139999999998,-1.858132,-0.4531716
6.0,-19.29824,-1.7530620000000001,-0.39363380000000003
7.0,-18.66106,-1.6434484,-0.33178132
8.0,-18.000144,-1.5557808,-0.28868415999999997
9.0,-17.454708000000004,-1.4806608,-0.24356176000000002
10.0,-16.91864,-1.3959279999999996,-0.2030662
11.0,-16.470724,-1.3177848,-0.16174568000000003
12.0,-15.980836,-1.2478672,-0.13141176000000002
13.0,-15.501468000000001,-1.1903000000000001,-0.09450792799999998
14.0,-15.066631999999998,-1.1263412,-0.06043334
15.0,-14.71202,-1.06732,-0.025756800000000014
16.0,-14.327024,-1.0177288,0.0035531151999999774
17.0,-14.008408,-0.96352192,0.033023488000000004
18.0,-13.693276000000001,-0.90957316,0.06531195199999999
19.0,-13.354883999999998,-0.87251872,0.09259888000000004
20.0,-13.01272,-0.8211053999999998,0.12319660000000006
21.0,-12.691612000000001,-0.7691758800000003,0.15060216
22.0,-12.412356,-0.7233857600000001,0.18074268
23.0,-12.0937,-0.68772708,0.20590752
24.0,-11.835248,-0.64777616,0.22624867999999995
25.0,-11.5285,-0.610712,0.249455
26.0,-11.316336,-0.56971832,0.273502
27.0,-11.051091999999999,-0.53841596,0.29435308
28.0,-10.762547999999999,-0.50220112,0.31487884000000005
29.0,-10.480324,-0.4684554000000002,0.33576335999999973
30.0,-10.22962,-0.4227064000000001,0.35675399999999996
31.0,-9.9796484,-0.38803084000000004,0.3761348399999999
32.0,-9.737222800000001,-0.34953512000000003,0.39540288
33.0,-9.500318,-0.31015036,0.41474936
34.0,-9.2592044,-0.26959848,0.43525948000000003
35.0,-8.951126,-0.23472140000000016,0.4535679999999999
36.0,-8.690869600000001,-0.19286548000000003,0.47260068
37.0,-8.425749600000001,-0.15683304,0.49018436
38.0,-8.190298799999999,-0.11857211999999992,0.5085057199999999
39.0,-7.9307631999999995,-0.083215072,0.5303629599999999
40.0,-7.713639999999999,-0.05147969999999992,0.5473686000000002
41.0,-7.454282,-0.011807604000000025,0.56756268
42.0,-7.2299848,0.0226837079999999,0.58508008
43.0,-7.0133676,0.054465932,0.6017596000000001
44.0,-6.7925328,0.09138725199999993,0.6181315199999999
45.0,-6.567706,0.12117500000000002,0.6330895999999999
46.0,-6.381390800000001,0.1539446,0.65001184
47.0,-6.149214400000001,0.1826776,0.6699798799999996
48.0,-5.9214316,0.21526235999999999,0.6906138
49.0,-5.70359,0.2515708,0.70754332
50.0,-5.5046,0.286368,0.725507
51.0,-5.2726384,0.31761200000000006,0.7418286400000003
52.0,-5.0609784,0.35470640000000003,0.7629548
53.0,-4.817739199999999,0.3843208400000002,0.78411012
54.0,-4.548888,0.41855188000000004,0.8011885200000001
55.0,-4.316673999999997,0.4527194000000005,0.8207626000000002
56.0,-4.120678799999999,0.4841152,0.8361236400000001
57.0,-3.9175936,0.51846712,0.85581636
58.0,-3.6443808000000035,0.5515955199999999,0.8702743999999999
59.0,-3.4344604000000003,0.58328976,0.88899384
60.0,-3.215222000000001,0.6180529999999996,0.9077933999999999
61.0,-2.966618,0.6592555200000001,0.9271317200000001
62.0,-2.7408684,0.6985143999999996,0.9454690800000001
63.0,-2.4904476,0.7326858,0.9691034000000001
64.0,-2.2601656000000006,0.7652261199999999,0.9908638799999999
65.0,-1.9987319999999997,0.7985988000000002,1.009202
66.0,-1.7886592000000001,0.8320753999999999,1.0301412
67.0,-1.5453259999999998,0.86875736,1.053492
68.0,-1.3361091999999999,0.9072059600000001,1.073984
69.0,-1.1108616000000004,0.9444804799999998,1.093394
70.0,-0.8656210000000024,0.9775517999999996,1.114388
71.0,-0.6214500000000004,1.0142071999999998,1.1407059999999998
72.0,-0.35537724000000054,1.0411336,1.1665595999999996
73.0,-0.09605652800000014,1.074096,1.1872315999999998
74.0,0.19026915999999963,1.1147707999999998,1.2085475999999997
75.0,0.501781,1.16185,1.22824
76.0,0.7282260800000014,1.1974780000000003,1.2529332
77.0,0.9833910800000005,1.2405428,1.280302
78.0,1.2463724000000027,1.2873320000000001,1.3082356000000002
79.0,1.5541904000000002,1.3335328000000004,1.3328516000000001
80.0,1.8746140000000011,1.3828040000000004,1.3613380000000004
81.0,2.207057200000008,1.4303648000000004,1.3887644000000003
82.0,2.5387812,1.4760888,1.4206332
83.0,2.8999940000000013,1.5214492,1.4490948000000001
84.0,3.2439596,1.5705915999999998,1.4791488
85.0,3.5586259999999976,1.6289019999999999,1.513848
86.0,3.9100600000000005,1.6813984,1.5494188
87.0,4.2916416,1.7438460000000018,1.5843408
88.0,4.6945619999999995,1.8153111999999998,1.6135692
89.0,5.2120908,1.8813683999999997,1.6440439999999998
90.0,5.687760000000001,1.950876,1.6882180000000002
91.0,6.202159600000002,2.0317416,1.7256920000000004
92.0,6.842230799999999,2.1176836,1.7716299999999998
93.0,7.4471652,2.2105424,1.8192988
94.0,8.147921599999963,2.305613599999999,1.8845439999999996
95.0,8.886523999999998,2.4304979999999996,1.950151999999999
96.0,9.8336952,2.5525816,2.0191627999999997
97.0,10.763072000000001,2.7158924000000004,2.1167504000000004
98.0,12.503727999999994,2.906100799999999,2.227412399999998
99.0,14.868383999999985,3.248087199999993,2.432955199999998
99.5,16.75787400000001,3.5326562000000017,2.6130898
99.7,18.3296344,3.740310000000002,2.75335572
99.9,20.73850560000048,4.116434800000004,3.076733560000004
100.0,24.4178,5.6176,3.55569
