,CandT,Lassosum,LDpred2
0.0,-13.0857,-0.358685,-10.7359
1.0,-6.5220205,-0.22205989,-7.161942600000001
2.0,-5.725232,-0.18860142,-6.2709428
3.0,-5.1209082,-0.17040788,-5.6361855
4.0,-4.8216364,-0.15152104,-5.142754
5.0,-4.4445815,-0.13995115,-4.793788999999999
6.0,-4.088040800000001,-0.13106268000000001,-4.5096638
7.0,-3.80833,-0.11982097,-4.241877000000001
8.0,-3.62482,-0.11115236,-3.9612912
9.0,-3.4224970000000003,-0.10370069,-3.7329874000000003
10.0,-3.1684759999999996,-0.09588105,-3.562213
11.0,-2.949061,-0.089714909,-3.4084194
12.0,-2.713042800000001,-0.08330282,-3.1976496
13.0,-2.53297,-0.078177236,-3.0548545
14.0,-2.415479,-0.073391366,-2.9256803999999996
15.0,-2.232815,-0.066487775,-2.7724035000000002
16.0,-2.1462499999999998,-0.061782263999999996,-2.6688136
17.0,-1.9651051,-0.056622149999999996,-2.5651064
18.0,-1.7978112000000002,-0.052437992,-2.465040600000001
19.0,-1.6669302999999998,-0.04806457399999999,-2.3015372
20.0,-1.521928,-0.04320336,-2.164718
21.0,-1.4013877000000001,-0.038651249,-2.0466361
22.0,-1.2884916,-0.03480335,-1.9326
23.0,-1.1654993,-0.031084162999999998,-1.8406808000000001
24.0,-1.04983,-0.02700652000000001,-1.7391332000000002
25.0,-0.93923175,-0.023217675,-1.6564425
26.0,-0.8267105599999999,-0.01953791999999998,-1.5467066
27.0,-0.7491320300000001,-0.015134556,-1.4519461
28.0,-0.6409446799999998,-0.011074667999999972,-1.3385896
29.0,-0.55043949,-0.0066474776,-1.2388603000000002
30.0,-0.4271550000000001,-0.0036106010000000193,-1.1018560000000002
31.0,-0.32364528000000004,0.00010310284999999845,-1.0041151000000001
32.0,-0.21457567999999985,0.0037054332000000033,-0.9267189999999998
33.0,-0.12962617000000004,0.0073590439,-0.8382570500000002
34.0,-0.035461339999999855,0.010346524000000006,-0.74997874
35.0,0.05097959999999991,0.013570305,-0.6674676000000005
36.0,0.15839427999999992,0.01688027999999999,-0.589894200000001
37.0,0.2864400699999996,0.020221692999999995,-0.49830325000000003
38.0,0.3851400000000002,0.024332876000000007,-0.4187296599999998
39.0,0.48111348000000037,0.028003826,-0.32513312999999955
40.0,0.5435034000000001,0.031005360000000003,-0.25348419999999994
41.0,0.63793165,0.03466125399999999,-0.15419014000000006
42.0,0.7740127200000001,0.038251578,-0.07461903599999968
43.0,0.8619516399999996,0.04162023499999999,0.02131464199999982
44.0,0.937487,0.045448683999999996,0.10136432000000002
45.0,1.0574955000000001,0.04830007,0.19209010000000037
46.0,1.1217892,0.051191994,0.299566
47.0,1.2040872999999985,0.054829499,0.39187966999999907
48.0,1.28604,0.058606439999999996,0.46919991999999994
49.0,1.406353,0.06175195699999999,0.5995085499999997
50.0,1.509875,0.065563,0.710645
51.0,1.6037362000000006,0.06862470799999999,0.8203941000000001
52.0,1.7073764000000005,0.07172190000000002,0.9001120400000007
53.0,1.7939551000000014,0.07430409000000002,0.9922928800000003
54.0,1.9023508,0.077661042,1.087459
55.0,1.9877495000000007,0.08134555500000001,1.1982700000000004
56.0,2.0669024,0.08490117200000005,1.2887192000000005
57.0,2.1886026999999992,0.088237412,1.3886028999999998
58.0,2.2580978,0.092440794,1.4617897999999998
59.0,2.3644692000000003,0.09615467800000001,1.5443065000000002
60.0,2.4735639999999988,0.09942984,1.6617499999999998
61.0,2.5474621999999996,0.10344927,1.760671799999999
62.0,2.6543706,0.10762144,1.8659424
63.0,2.7423147,0.11114789,1.9557617999999999
64.0,2.8400572,0.11534244000000003,2.0644272000000004
65.0,2.9372935000000004,0.11895205000000002,2.1660225
66.0,3.03591,0.1224067,2.2785054
67.0,3.1280941,0.12601149,2.398882
68.0,3.1930856000000003,0.130032,2.488495200000001
69.0,3.2950234,0.13419966999999997,2.5825366999999986
70.0,3.388136,0.13734159999999998,2.691452
71.0,3.4931853,0.14178318,2.7892953
72.0,3.6055087999999964,0.14595127999999993,2.8753548
73.0,3.6864677,0.14997788999999997,2.991916199999997
74.0,3.8270893999999993,0.15446365999999997,3.0999516
75.0,3.9620975,0.1582525,3.1922574999999997
76.0,4.0860780000000005,0.16384568000000002,3.3110508000000003
77.0,4.209706300000001,0.16812507,3.4261845
78.0,4.345472000000002,0.17185700000000004,3.5401194
79.0,4.4660293,0.17552778,3.6410144
80.0,4.606882,0.18093520000000002,3.7925780000000007
81.0,4.763505900000001,0.18510524000000003,3.8911995
82.0,4.940906999999999,0.19013297999999998,3.9977495999999992
83.0,5.162278799999999,0.1948937,4.1341749000000005
84.0,5.3239796,0.1997542,4.272088
85.0,5.4924135000000005,0.20552414999999996,4.374647999999998
86.0,5.631057799999998,0.21015427999999997,4.5108596
87.0,5.8150851,0.21517972999999999,4.658741
88.0,6.0371936,0.2221688,4.8006139999999995
89.0,6.196120200000001,0.23031410000000005,5.006716900000002
90.0,6.458367000000003,0.23964310000000005,5.302230000000003
91.0,6.7200327,0.24950207,5.540439599999999
92.0,6.9887136000000005,0.25813576,5.783662400000001
93.0,7.302356,0.26737535,6.0319285
94.0,7.652979199999989,0.27885237999999996,6.377502599999987
95.0,7.971887499999992,0.2908737499999999,6.791879499999995
96.0,8.469686399999999,0.3073534799999998,7.095347999999993
97.0,8.976626699999999,0.32783519999999994,7.4925171999999955
98.0,9.571438399999996,0.3507191399999998,8.009256999999998
99.0,10.575805999999991,0.3784614399999999,8.836368299999998
99.5,11.744334000000022,0.42438656000000113,10.097023850000056
99.7,12.700752600000058,0.4477474370000011,10.467500900000024
99.9,14.336191900000072,0.4734763940000018,12.117471900000135
100.0,17.1934,0.535688,13.0504
