,CandT,Lassosum,LDpred2
0.0,-11.7838,-2.00178,-3.49753
1.0,-8.5012902,-1.2270973,-2.4035192999999997
2.0,-7.8697526,-1.0361999999999998,-2.0328638
3.0,-7.390156,-0.90249241,-1.6901856999999998
4.0,-7.124198,-0.7996298399999999,-1.371708
5.0,-6.896391,-0.67989565,-1.2512964999999998
6.0,-6.6217382,-0.6242918399999999,-1.100506
7.0,-6.441777,-0.5328537299999998,-1.0321149
8.0,-6.206802,-0.4811505199999999,-0.9140266399999999
9.0,-5.9751627,-0.40926854999999995,-0.81046271
10.0,-5.871917,-0.3627789999999999,-0.7490730999999999
11.0,-5.7592574,-0.31739519,-0.6447070899999999
12.0,-5.6101572,-0.28357888000000003,-0.55149216
13.0,-5.4649066,-0.23434531000000003,-0.48520488
14.0,-5.362825,-0.18771733999999998,-0.41583736
15.0,-5.203532000000001,-0.15791330000000003,-0.35615340000000006
16.0,-5.1171468,-0.13344587999999996,-0.30602131999999993
17.0,-5.0114567,-0.11640004,-0.23454523
18.0,-4.9059064,-0.08332055399999998,-0.17834981999999996
19.0,-4.7965272,-0.048384887,-0.10733615
20.0,-4.699946,-0.02135305999999999,-0.04425113999999991
21.0,-4.5578779,0.001364640299999998,0.0013648845999999896
22.0,-4.493208,0.033338900000000025,0.03595606800000004
23.0,-4.3803825,0.048494659,0.08793182500000002
24.0,-4.3211328,0.08277026800000001,0.11617376000000003
25.0,-4.261565,0.10799800000000001,0.15006475
26.0,-4.1833236,0.13708747999999998,0.1857132
27.0,-4.1135962,0.15902499000000012,0.22472002000000038
28.0,-4.0382272,0.1775678800000001,0.2563781200000004
29.0,-3.9687283,0.20435188999999998,0.31981507999999975
30.0,-3.8991430000000005,0.23447189999999998,0.3608683
31.0,-3.8132039,0.26679842,0.38532618999999996
32.0,-3.7417536,0.2919906,0.40965052000000013
33.0,-3.6681103,0.3124329900000001,0.46070869
34.0,-3.5682882,0.33958946,0.48788162000000024
35.0,-3.505226,0.3596783999999999,0.5302721999999999
36.0,-3.3990728,0.38060572000000004,0.57385296
37.0,-3.3025333000000003,0.40045603,0.61783137
38.0,-3.2302778,0.41712926,0.65799804
39.0,-3.1724518,0.44127012,0.70699355
40.0,-3.103814,0.4614596,0.7411810000000001
41.0,-3.0614167,0.47874202,0.7803629099999999
42.0,-3.0021478,0.49873008,0.8341210599999997
43.0,-2.9356404,0.51741151,0.8892910099999998
44.0,-2.8721028,0.5413522000000001,0.9221986400000002
45.0,-2.7789635,0.55898125,0.958272
46.0,-2.7143034,0.57231708,0.9890474
47.0,-2.6329900999999998,0.5939959300000001,1.0494654
48.0,-2.5877440000000003,0.61451404,1.087782
49.0,-2.5174671,0.63512009,1.141838
50.0,-2.408435,0.6608015,1.17625
51.0,-2.3438898,0.68206058,1.2127329999999998
52.0,-2.28607,0.7075426,1.2533028
53.0,-2.2199218000000003,0.7322814099999999,1.2849959
54.0,-2.144262599999999,0.7496103800000002,1.3484786000000006
55.0,-2.1004745,0.7738193000000001,1.3861630000000005
56.0,-2.040138,0.8026603200000008,1.4248952000000001
57.0,-2.0076137,0.8244199199999999,1.468675
58.0,-1.9233894000000007,0.8501318199999999,1.5023412
59.0,-1.8439121,0.8718660699999998,1.547971
60.0,-1.78723,0.8971818,1.6009539999999998
61.0,-1.7397442,0.9244077399999998,1.6355964
62.0,-1.6537624000000002,0.9527351799999999,1.6835931999999993
63.0,-1.5820243,0.97768138,1.7161751000000007
64.0,-1.500742,0.99784656,1.7623160000000002
65.0,-1.4497219999999988,1.0247535,1.7974620000000001
66.0,-1.3859967999999991,1.0490718,1.845692
67.0,-1.2863602999999995,1.0795387,1.8865732
68.0,-1.1989907999999998,1.1052808,1.9440472000000004
69.0,-1.1135203000000002,1.1337213999999993,1.9941242999999995
70.0,-1.0376740000000002,1.1567229999999997,2.0310449999999998
71.0,-0.97163573,1.1795023999999998,2.0873179999999993
72.0,-0.9049585199999999,1.2032692,2.1312444
