,CandT,Lassosum,LDpred2
0.0,-7.89069,-1.79624,-12.8106
1.0,-5.6995204,-1.2828916000000001,-8.3285644
2.0,-5.211906,-1.177156,-7.560923600000001
3.0,-4.9021192000000005,-1.1139436,-7.1119812
4.0,-4.6259288000000005,-1.0623912,-6.77175
5.0,-4.497366,-1.028108,-6.49728
6.0,-4.35117,-0.9910022,-6.2792044
7.0,-4.1745816,-0.9639044800000001,-6.0837992000000005
8.0,-3.9854056,-0.93955204,-5.9120336
9.0,-3.8765036000000004,-0.91634916,-5.7751396
10.0,-3.78621,-0.8913061999999999,-5.60382
11.0,-3.6679364000000003,-0.8710622800000001,-5.4483788
12.0,-3.5754524,-0.85110856,-5.332188
13.0,-3.4530536,-0.83037852,-5.2190152
14.0,-3.3344859999999996,-0.81402464,-5.1130072
15.0,-3.22624,-0.7983164,-5.018474
16.0,-3.1596,-0.78381648,-4.9211659999999995
17.0,-3.0792903999999997,-0.76846168,-4.82865
18.0,-3.015012,-0.75783508,-4.737752400000001
19.0,-2.94521,-0.74374728,-4.6685796
20.0,-2.88802,-0.7296152,-4.577342
21.0,-2.8091652000000003,-0.7184278,-4.4883412
22.0,-2.7202684,-0.70525932,-4.4086232
23.0,-2.6334292,-0.69489104,-4.3288915999999995
24.0,-2.5604584000000004,-0.68278584,-4.2566292
25.0,-2.50011,-0.672616,-4.18356
26.0,-2.4411712,-0.66195056,-4.108036
27.0,-2.3913944,-0.64935956,-4.0250715999999995
28.0,-2.33392,-0.6359153599999999,-3.9479192
29.0,-2.2891668,-0.62477092,-3.8696832
30.0,-2.2291000000000003,-0.6154212,-3.808828
31.0,-2.1790708,-0.6049640000000001,-3.7437512
32.0,-2.117544,-0.594152,-3.6775548
33.0,-2.04826,-0.58494612,-3.6114724
34.0,-1.9837604,-0.57508656,-3.5395856
35.0,-1.9160560000000013,-0.5659912,-3.463304
36.0,-1.8407,-0.5548977600000001,-3.3965940000000003
37.0,-1.7850128,-0.54445944,-3.3250304
38.0,-1.7419,-0.53445332,-3.2495868
39.0,-1.6883287999999999,-0.52556304,-3.1736923999999993
40.0,-1.647132,-0.5147291999999999,-3.0975279999999996
41.0,-1.6026023999999999,-0.5056814,-3.0249556
42.0,-1.562766800000001,-0.49471912,-2.9607860000000006
43.0,-1.5220255999999999,-0.48560916000000004,-2.8961259999999998
44.0,-1.4731696000000003,-0.4756507200000001,-2.837094
