,CandT,Lassosum,LDpred2
0.0,-51.6282,-0.510971,-48.9579
1.0,-35.403472,-0.31997994999999996,-31.240509
2.0,-32.317014,-0.28657206,-27.524196
3.0,-29.899655000000003,-0.27430827,-25.79062
4.0,-28.2755,-0.2629186,-24.373364
5.0,-26.9473,-0.25392585,-23.442055
6.0,-25.9768,-0.24387826,-22.278004
7.0,-25.054375999999998,-0.23667467999999997,-21.36719
8.0,-23.774164,-0.2289172,-20.480316
9.0,-22.8442,-0.22089738,-19.754596
10.0,-21.998,-0.2134126,-18.83821
11.0,-21.005520999999998,-0.20538947,-18.016598
12.0,-20.2608,-0.19733036,-17.031052
13.0,-19.6653,-0.18681937999999995,-16.224555
14.0,-18.884041999999997,-0.17425847999999997,-15.12309
15.0,-18.0932,-0.16148615,-14.284585000000002
16.0,-17.2593,-0.14504831999999998,-13.495899999999997
17.0,-16.477728,-0.13322995,-12.756922
18.0,-15.696626,-0.11930854000000003,-12.148882
19.0,-14.983789999999999,-0.11112150999999999,-11.548494999999999
20.0,-14.77448,-0.104866,-10.969019999999999
21.0,-14.361965,-0.099114774,-10.329798
22.0,-13.6059,-0.09340866199999999,-9.9031322
23.0,-13.0776,-0.088510343,-9.3676073
24.0,-12.6619,-0.084762212,-9.0457336
25.0,-12.3065,-0.08115207499999999,-8.594035000000002
26.0,-11.885931999999997,-0.07824522199999999,-8.198625599999998
27.0,-11.634192,-0.075102372,-7.8681715
28.0,-11.2732,-0.072899144,-7.617982799999999
29.0,-10.856978,-0.07071622500000001,-7.2641343
30.0,-10.4733,-0.06873532000000002,-7.013324000000002
31.0,-10.424357,-0.06671803999999999,-6.768582
32.0,-9.91852,-0.06453244400000001,-6.584715999999999
33.0,-9.6113575,-0.062383536999999996,-6.3815387
34.0,-9.464634799999999,-0.060436135999999994,-6.1700896
35.0,-9.0735565,-0.058364040000000006,-5.973522
36.0,-8.9745,-0.056626984,-5.755606800000001
37.0,-8.695740700000002,-0.054559742,-5.5259374999999995
38.0,-8.55632,-0.052979202,-5.343432
39.0,-8.17463,-0.051061547,-5.1082113
40.0,-8.146211999999998,-0.049176279999999996,-4.908043999999999
41.0,-8.09422,-0.047689728,-4.7367763
42.0,-7.7089974,-0.045976086,-4.5396396
43.0,-7.57344,-0.044382022,-4.3707909
44.0,-7.29435,-0.042594472,-4.243994799999999
45.0,-7.096606499999999,-0.04114415499999999,-4.0771939999999995
46.0,-6.78594,-0.039522086,-3.8923212
47.0,-6.77218,-0.037822437,-3.7410156
