,CandT,Lassosum,LDpred2
0.0,-1.5455,-0.252178,-0.662822
1.0,-0.80097692,-0.1718934,-0.41727352
2.0,-0.67608004,-0.1562818,-0.37420892
3.0,-0.616672,-0.1472844,-0.34811244
4.0,-0.54677496,-0.1392852,-0.32231627999999996
5.0,-0.5009376,-0.1330734,-0.305526
6.0,-0.46971504000000003,-0.12767836,-0.29081708
7.0,-0.43574524,-0.1227014,-0.27707467999999996
8.0,-0.40403332000000003,-0.11728152,-0.2646478
9.0,-0.37598700000000007,-0.11333848,-0.25432484
10.0,-0.3512924,-0.10945479999999999,-0.244674
11.0,-0.32447519999999996,-0.10500244,-0.23618392
12.0,-0.30618472,-0.10140432,-0.22548688
13.0,-0.28679016,-0.09789666400000001,-0.21707056
14.0,-0.26434495999999996,-0.095023968,-0.20792583999999997
15.0,-0.2425358,-0.09265704,-0.2002738
16.0,-0.22402764,-0.089824956,-0.19420736
17.0,-0.207805,-0.087198312,-0.18763056
18.0,-0.19087944000000004,-0.084773628,-0.1807998
19.0,-0.17618752,-0.082531564,-0.17442307999999998
20.0,-0.15780699999999995,-0.08047116,-0.16777739999999997
21.0,-0.14443968000000001,-0.077802248,-0.16229908
22.0,-0.13025620000000002,-0.075454452,-0.15771672
23.0,-0.11792524,-0.0729157,-0.15276344
24.0,-0.10327916000000001,-0.070932988,-0.14740164
25.0,-0.0886685,-0.0689395,-0.142068
26.0,-0.07427464799999998,-0.066933332,-0.13667595999999999
27.0,-0.06020734399999996,-0.064928712,-0.13211244
28.0,-0.049632211999999926,-0.06292165599999999,-0.12698083999999998
29.0,-0.036811856000000025,-0.06072769200000002,-0.12192276000000002
30.0,-0.023548580000000013,-0.05898682,-0.1172726
31.0,-0.01084293200000001,-0.057183176,-0.11310148
32.0,0.004352226799999989,-0.055389048,-0.10824888
33.0,0.015539352,-0.053480588,-0.10401848
34.0,0.028126616000000007,-0.051516620000000006,-0.09937642000000001
35.0,0.03948705999999996,-0.04990774,-0.09484472000000001
36.0,0.050485879999999976,-0.04822194,-0.09015382400000002
37.0,0.06185320399999998,-0.04646329600000001,-0.08535746000000001
38.0,0.07281830000000003,-0.044947668,-0.081595352
39.0,0.08216954400000001,-0.042874119999999974,-0.077967688
40.0,0.09046390000000001,-0.0407179,-0.07389773999999992
41.0,0.10266415999999999,-0.038989012,-0.06983864799999999
42.0,0.11517067999999998,-0.03704220400000002,-0.065043084
43.0,0.12818816,-0.03534761999999999,-0.060498451999999994
44.0,0.13922067999999999,-0.033537716,-0.05563676000000002
45.0,0.14880220000000002,-0.03133884,-0.05123255999999999
46.0,0.16058771999999996,-0.029570200000000005,-0.047457556
47.0,0.17086403999999997,-0.027709412000000006,-0.043828264000000006
48.0,0.18326555999999994,-0.026001220000000002,-0.039652568
49.0,0.19413775999999996,-0.024556892000000042,-0.03563986800000001
50.0,0.205544,-0.0228056,-0.0318851
51.0,0.21673996,-0.02071105999999999,-0.027777579999999996
52.0,0.22625092000000002,-0.019018712,-0.02305161999999999
53.0,0.23845772000000007,-0.01746565599999998,-0.01841568799999999
54.0,0.24945056000000002,-0.015329447999999999,-0.014526279999999987
55.0,0.2643112,-0.013726159999999989,-0.010774499999999982
56.0,0.27706436,-0.012015927999999999,-0.006576462399999953
57.0,0.28632243999999996,-0.010381512,-0.0026415128000000037
58.0,0.29693107999999996,-0.0085709116,0.0010445039999999863
59.0,0.30647436,-0.00704474,0.005037155200000001
60.0,0.315669,-0.005367662000000002,0.009402675999999999
61.0,0.32638044,-0.0035965439999999897,0.013777456000000002
62.0,0.33756531999999995,-0.0016178984000000012,0.018800035999999985
63.0,0.34994052000000003,0.00021842216000001312,0.02373999200000003
64.0,0.36212304,0.00191297159999999,0.027682871999999997
65.0,0.37283380000000005,0.0038133820000000184,0.032522180000000005
66.0,0.3858044,0.005685149199999999,0.036757752
67.0,0.39829632,0.007188368400000004,0.041316120000000005
68.0,0.41189484000000004,0.0089235144,0.045229752
69.0,0.42211331999999996,0.010794079999999998,0.050295091999999944
70.0,0.43522299999999997,0.012668099999999979,0.054186739999999935
71.0,0.44580647999999995,0.014822611999999995,0.05893913199999999
72.0,0.4601417999999998,0.016656804,0.06343568799999998
73.0,0.47354564,0.018645011999999996,0.068063588
74.0,0.48787172,0.020570728,0.07355691599999999
75.0,0.499453,0.022828,0.0790014
76.0,0.51236196,0.02497401200000002,0.08451816000000005
77.0,0.5276948800000001,0.027017736,0.09018322800000002
78.0,0.54311708,0.029535816000000006,0.096578432
79.0,0.55944084,0.03234402,0.10224752000000001
80.0,0.5766624000000001,0.03473518000000002,0.10756640000000017
81.0,0.59135748,0.036867048,0.1147206
82.0,0.6082324,0.039276132,0.12003291999999999
83.0,0.62334924,0.042263744000000006,0.12605672
84.0,0.63970264,0.04479526399999999,0.13332903999999998
85.0,0.6584755999999998,0.04773568,0.1408759999999999
86.0,0.67700816,0.05045009200000001,0.14764668
87.0,0.6954984800000001,0.05388118400000004,0.1546006800000001
88.0,0.7176723599999999,0.056947868,0.16195139999999997
89.0,0.7400466,0.06009565199999999,0.17101891999999996
90.0,0.7665854000000001,0.06380904000000001,0.18108060000000006
91.0,0.79060828,0.06765434000000004,0.18874108
92.0,0.8191410399999998,0.07266471599999998,0.19951684
93.0,0.8489384400000001,0.07714354400000001,0.21126815999999998
94.0,0.8813613599999998,0.08224412399999999,0.22464983999999988
95.0,0.9194881999999999,0.08844909999999989,0.23970099999999991
96.0,0.97201076,0.09525631599999995,0.2566093199999998
97.0,1.0353972,0.10318216000000001,0.27966628000000004
98.0,1.1150655999999983,0.11408563999999997,0.3123070399999999
99.0,1.2375579999999984,0.1313358799999996,0.35185415999999947
99.5,1.3743204000000013,0.1519312400000004,0.3870448400000003
99.7,1.4579372800000003,0.16188001200000002,0.42872822000000005
99.9,1.5618206000000077,0.1863298080000012,0.47679962800000525
100.0,2.06528,0.220059,0.637754
